hero_id,hero.data.name,hero.data.roadsort,hero.data.smallmap,hero.data.sortid,relation.assist.target_hero_id,relation.strong.target_hero_id,relation.weak.target_hero_id,_createdAt,_id,_updatedAt,data,sourceId,extraction_date
130,Obsidia,"[{'_id': '668541a2aa8e7f6ec4703d86', 'caption': '金币路', 'configId': 144237, 'createdAt': 1720009122589, 'createdUser': 'nickjin', 'data': {'_object': 2732073, 'road_sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/91f817c656908a83c2e24eecb3b70986.svg', 'road_sort_id': '5', 'road_sort_title': 'Gold Lane'}, 'dynamic': None, 'id': 2732079, 'linkId': [2732073], 'sort': 0, 'updatedAt': 1723022953428, 'updatedUser': 'nickjin'}, '']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_2_1_18/100_92bcc9ad2c4c8165a888d34f086a4d28.png,"[{'_id': '6698c04f613093b976b4a978', 'caption': '5射手', 'configId': 144237, 'createdAt': 1721286735503, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/025c69a764924f4bac526a2662f1a0b9.png', 'sort_id': '5', 'sort_title': 'Marksman'}, 'dynamic': None, 'id': 2740665, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023126452, 'updatedUser': 'nickjin'}, '']","[55, 34]","[21, 22, 47]","[12, 18]",1758200708021,68cc038566ceee72419f7815,1759937702878,"{'bigrank': '8', 'camp_type': '1', 'main_heroid': 130, 'match_type': '1', 'win_rate': [{'app_rate': 0.016097, 'ban_rate': 0.38291, 'date': '2025-10-07', 'win_rate': 0.519706}, {'app_rate': 0.01606, 'ban_rate': 0.385027, 'date': '2025-10-06', 'win_rate': 0.518379}, {'app_rate': 0.016038, 'ban_rate': 0.388124, 'date': '2025-10-05', 'win_rate': 0.517877}, {'app_rate': 0.015854, 'ban_rate': 0.39092, 'date': '2025-10-04', 'win_rate': 0.516617}, {'app_rate': 0.015782, 'ban_rate': 0.393655, 'date': '2025-10-03', 'win_rate': 0.515828}, {'app_rate': 0.015824, 'ban_rate': 0.396271, 'date': '2025-10-02', 'win_rate': 0.514477}, {'app_rate': 0.015878, 'ban_rate': 0.397526, 'date': '2025-10-01', 'win_rate': 0.513441}]}",2674709,2025-10-08
129,Zetian,"[{'_id': '66854225aa8e7f6ec4703d93', 'caption': '中路', 'configId': 144237, 'createdAt': 1720009253985, 'createdUser': 'nickjin', 'data': {'_object': 2732073, 'road_sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/facab1eacb218d767b5acb80304bfafd.svg', 'road_sort_id': '2', 'road_sort_title': 'Mid Lane'}, 'dynamic': None, 'id': 2732084, 'linkId': [2732073], 'sort': 0, 'updatedAt': 1723022943932, 'updatedUser': 'nickjin'}, '']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_90/100_22dc8b16ea98a735027c3141b74ef841.png,"[{'_id': '6698c015613093b976b4a974', 'caption': '4法师', 'configId': 144237, 'createdAt': 1721286677393, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/1c6985dd0caec2028ccb6d1b8ca95e0f.png', 'sort_id': '4', 'sort_title': 'mage'}, 'dynamic': None, 'id': 2740663, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023128824, 'updatedUser': 'nickjin'}, '']","[112, 14]","[2, 16]",[110],1750337099746,6854064cec18fd09131d72db,1759937702878,"{'bigrank': '8', 'camp_type': '1', 'main_heroid': 129, 'match_type': '1', 'win_rate': [{'app_rate': 0.010247, 'ban_rate': 0.029954, 'date': '2025-10-07', 'win_rate': 0.480756}, {'app_rate': 0.010186, 'ban_rate': 0.029636, 'date': '2025-10-06', 'win_rate': 0.480518}, {'app_rate': 0.01012, 'ban_rate': 0.029488, 'date': '2025-10-05', 'win_rate': 0.480678}, {'app_rate': 0.009995, 'ban_rate': 0.029347, 'date': '2025-10-04', 'win_rate': 0.479808}, {'app_rate': 0.009919, 'ban_rate': 0.029041, 'date': '2025-10-03', 'win_rate': 0.47947}, {'app_rate': 0.009902, 'ban_rate': 0.028813, 'date': '2025-10-02', 'win_rate': 0.478919}, {'app_rate': 0.009884, 'ban_rate': 0.02842, 'date': '2025-10-01', 'win_rate': 0.478419}]}",2674709,2025-10-08
128,Kalea,"[{'_id': '66854202aa8e7f6ec4703d8f', 'caption': '辅助', 'configId': 144237, 'createdAt': 1720009218480, 'createdUser': 'nickjin', 'data': {'_object': 2732073, 'road_sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/a3dbb075b4d8186c29f02f7d47da236a.svg', 'road_sort_id': '3', 'road_sort_title': 'Roam'}, 'dynamic': None, 'id': 2732083, 'linkId': [2732073], 'sort': 0, 'updatedAt': 1723022949109, 'updatedUser': 'nickjin'}, '']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_64/100_9c5f2904026ba88b7aba8c9b2722f4ad.png,"[{'_id': '6698c06a613093b976b4a97c', 'caption': '6辅助', 'configId': 144237, 'createdAt': 1721286762785, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/1e4609b25a4cd63ee5a13015d4058159.png', 'sort_id': '6', 'sort_title': 'support'}, 'dynamic': None, 'id': 2740666, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023113317, 'updatedUser': 'nickjin'}, {'_id': '6698bfe8613093b976b4a96c', 'caption': '2战士', 'configId': 144237, 'createdAt': 1721286632237, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/629e282165d4b63deceaf350426ea440.png', 'sort_id': '2', 'sort_title': 'fighter'}, 'dynamic': None, 'id': 2740659, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023133206, 'updatedUser': 'nickjin'}]","[15, 42, 13]","[18, 61]","[48, 19]",1742473500049,67dc091ebc060718d7756149,1759937702878,"{'bigrank': '8', 'camp_type': '1', 'main_heroid': 128, 'match_type': '1', 'win_rate': [{'app_rate': 0.006765, 'ban_rate': 0.078811, 'date': '2025-10-07', 'win_rate': 0.486109}, {'app_rate': 0.006759, 'ban_rate': 0.07851, 'date': '2025-10-06', 'win_rate': 0.485628}, {'app_rate': 0.006709, 'ban_rate': 0.078473, 'date': '2025-10-05', 'win_rate': 0.48517}, {'app_rate': 0.006683, 'ban_rate': 0.07897, 'date': '2025-10-04', 'win_rate': 0.485784}, {'app_rate': 0.006562, 'ban_rate': 0.078483, 'date': '2025-10-03', 'win_rate': 0.486594}, {'app_rate': 0.006466, 'ban_rate': 0.077706, 'date': '2025-10-02', 'win_rate': 0.486914}, {'app_rate': 0.006401, 'ban_rate': 0.077012, 'date': '2025-10-01', 'win_rate': 0.486787}]}",2674709,2025-10-08
127,Lukas,"[{'_id': '6685424caa8e7f6ec4703d97', 'caption': '经验路', 'configId': 144237, 'createdAt': 1720009292257, 'createdUser': 'nickjin', 'data': {'_object': 2732073, 'road_sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/6a246099f7eb83a8856306d8b4c84fc2.svg', 'road_sort_id': '1', 'road_sort_title': 'Exp Lane'}, 'dynamic': None, 'id': 2732085, 'linkId': [2732073], 'sort': 0, 'updatedAt': 1723022932111, 'updatedUser': 'nickjin'}, {'_id': '668541caaa8e7f6ec4703d8a', 'caption': '打野', 'configId': 144237, 'createdAt': 1720009162509, 'createdUser': 'nickjin', 'data': {'_object': 2732073, 'road_sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/de611167c7310681135f0b4198137bfa.svg', 'road_sort_id': '4', 'road_sort_title': 'Jungle'}, 'dynamic': None, 'id': 2732080, 'linkId': [2732073], 'sort': 0, 'updatedAt': 1723022951463, 'updatedUser': 'nickjin'}]",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_20/100_454c13b2de7b7d1a20fbf553c620510d.png,"[{'_id': '6698bfe8613093b976b4a96c', 'caption': '2战士', 'configId': 144237, 'createdAt': 1721286632237, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/629e282165d4b63deceaf350426ea440.png', 'sort_id': '2', 'sort_title': 'fighter'}, 'dynamic': None, 'id': 2740659, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023133206, 'updatedUser': 'nickjin'}, '']","[93, 6, 41]","[60, 121]","[17, 57, 116]",1734870913455,67680781dcc347d19052d927,1759937702878,"{'bigrank': '8', 'camp_type': '1', 'main_heroid': 127, 'match_type': '1', 'win_rate': [{'app_rate': 0.003021, 'ban_rate': 0.003433, 'date': '2025-10-07', 'win_rate': 0.481766}, {'app_rate': 0.003009, 'ban_rate': 0.003466, 'date': '2025-10-06', 'win_rate': 0.483159}, {'app_rate': 0.003001, 'ban_rate': 0.003493, 'date': '2025-10-05', 'win_rate': 0.483884}, {'app_rate': 0.003, 'ban_rate': 0.003422, 'date': '2025-10-04', 'win_rate': 0.485491}, {'app_rate': 0.003003, 'ban_rate': 0.003368, 'date': '2025-10-03', 'win_rate': 0.484825}, {'app_rate': 0.003023, 'ban_rate': 0.003347, 'date': '2025-10-02', 'win_rate': 0.484556}, {'app_rate': 0.003033, 'ban_rate': 0.003314, 'date': '2025-10-01', 'win_rate': 0.484169}]}",2674709,2025-10-08
126,Suyou,"[{'_id': '668541caaa8e7f6ec4703d8a', 'caption': '打野', 'configId': 144237, 'createdAt': 1720009162509, 'createdUser': 'nickjin', 'data': {'_object': 2732073, 'road_sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/de611167c7310681135f0b4198137bfa.svg', 'road_sort_id': '4', 'road_sort_title': 'Jungle'}, 'dynamic': None, 'id': 2732080, 'linkId': [2732073], 'sort': 0, 'updatedAt': 1723022951463, 'updatedUser': 'nickjin'}, '']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_1_9_20/100_422ffc7849e8bb01629d2423054ed410.png,"[{'_id': '6698bffd613093b976b4a970', 'caption': '3刺客', 'configId': 144237, 'createdAt': 1721286653803, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/d0b8b65a47fc43dc7bb2bac447072fd2.png', 'sort_id': '3', 'sort_title': 'assassin'}, 'dynamic': None, 'id': 2740661, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023131050, 'updatedUser': 'nickjin'}, {'_id': '6698bfe8613093b976b4a96c', 'caption': '2战士', 'configId': 144237, 'createdAt': 1721286632237, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/629e282165d4b63deceaf350426ea440.png', 'sort_id': '2', 'sort_title': 'fighter'}, 'dynamic': None, 'id': 2740659, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023133206, 'updatedUser': 'nickjin'}]","[14, 6]","[121, 115]","[114, 77]",1727026497115,66f05541b78c330538506b6d,1759937702878,"{'bigrank': '8', 'camp_type': '1', 'main_heroid': 126, 'match_type': '1', 'win_rate': [{'app_rate': 0.003069, 'ban_rate': 0.001164, 'date': '2025-10-07', 'win_rate': 0.481818}, {'app_rate': 0.003041, 'ban_rate': 0.001124, 'date': '2025-10-06', 'win_rate': 0.480642}, {'app_rate': 0.003012, 'ban_rate': 0.001085, 'date': '2025-10-05', 'win_rate': 0.480518}, {'app_rate': 0.003018, 'ban_rate': 0.001073, 'date': '2025-10-04', 'win_rate': 0.48102}, {'app_rate': 0.003036, 'ban_rate': 0.001067, 'date': '2025-10-03', 'win_rate': 0.481881}, {'app_rate': 0.003066, 'ban_rate': 0.001063, 'date': '2025-10-02', 'win_rate': 0.481996}, {'app_rate': 0.003083, 'ban_rate': 0.001054, 'date': '2025-10-01', 'win_rate': 0.482343}]}",2674709,2025-10-08
125,Zhuxin,"[{'_id': '66854225aa8e7f6ec4703d93', 'caption': '中路', 'configId': 144237, 'createdAt': 1720009253985, 'createdUser': 'nickjin', 'data': {'_object': 2732073, 'road_sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/facab1eacb218d767b5acb80304bfafd.svg', 'road_sort_id': '2', 'road_sort_title': 'Mid Lane'}, 'dynamic': None, 'id': 2732084, 'linkId': [2732073], 'sort': 0, 'updatedAt': 1723022943932, 'updatedUser': 'nickjin'}, '']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage_92/100_13cfeec4bec7a27a09677e519f1ef9d2.png,"[{'_id': '6698c015613093b976b4a974', 'caption': '4法师', 'configId': 144237, 'createdAt': 1721286677393, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/1c6985dd0caec2028ccb6d1b8ca95e0f.png', 'sort_id': '4', 'sort_title': 'mage'}, 'dynamic': None, 'id': 2740663, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023128824, 'updatedUser': 'nickjin'}, '']","[123, 71, 70]","[33, 94]","[3, 17]",1719756297141,6681660aa09589cedef93408,1759937702878,"{'bigrank': '8', 'camp_type': '1', 'main_heroid': 125, 'match_type': '1', 'win_rate': [{'app_rate': 0.006929, 'ban_rate': 0.049519, 'date': '2025-10-07', 'win_rate': 0.517944}, {'app_rate': 0.007066, 'ban_rate': 0.050997, 'date': '2025-10-06', 'win_rate': 0.519492}, {'app_rate': 0.007159, 'ban_rate': 0.052056, 'date': '2025-10-05', 'win_rate': 0.519702}, {'app_rate': 0.00737, 'ban_rate': 0.053999, 'date': '2025-10-04', 'win_rate': 0.520557}, {'app_rate': 0.007451, 'ban_rate': 0.055664, 'date': '2025-10-03', 'win_rate': 0.521601}, {'app_rate': 0.007539, 'ban_rate': 0.056952, 'date': '2025-10-02', 'win_rate': 0.522673}, {'app_rate': 0.007647, 'ban_rate': 0.058307, 'date': '2025-10-01', 'win_rate': 0.523133}]}",2674709,2025-10-08
124,Chip,"[{'_id': '66854202aa8e7f6ec4703d8f', 'caption': '辅助', 'configId': 144237, 'createdAt': 1720009218480, 'createdUser': 'nickjin', 'data': {'_object': 2732073, 'road_sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/a3dbb075b4d8186c29f02f7d47da236a.svg', 'road_sort_id': '3', 'road_sort_title': 'Roam'}, 'dynamic': None, 'id': 2732083, 'linkId': [2732073], 'sort': 0, 'updatedAt': 1723022949109, 'updatedUser': 'nickjin'}, '']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_85e15c66733cab7d8d73f7f725f31f1e.png,"[{'_id': '6698c06a613093b976b4a97c', 'caption': '6辅助', 'configId': 144237, 'createdAt': 1721286762785, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/1e4609b25a4cd63ee5a13015d4058159.png', 'sort_id': '6', 'sort_title': 'support'}, 'dynamic': None, 'id': 2740666, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023113317, 'updatedUser': 'nickjin'}, {'_id': '6698bfbc613093b976b4a949', 'caption': '1坦克', 'configId': 144237, 'createdAt': 1721286588147, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/60638c59536d9505c9c731af13f7fdfd.png', 'sort_id': '1', 'sort_title': 'tank'}, 'dynamic': None, 'id': 2740657, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023135175, 'updatedUser': 'nickjin'}]","[28, 60, 75]","[38, 18, 121]","[99, 6]",1713515848286,66222d49554108f06353198c,1759937702878,"{'bigrank': '8', 'camp_type': '1', 'main_heroid': 124, 'match_type': '1', 'win_rate': [{'app_rate': 0.001911, 'ban_rate': 0.08287, 'date': '2025-10-07', 'win_rate': 0.493067}, {'app_rate': 0.001948, 'ban_rate': 0.085476, 'date': '2025-10-06', 'win_rate': 0.492503}, {'app_rate': 0.001979, 'ban_rate': 0.088139, 'date': '2025-10-05', 'win_rate': 0.494814}, {'app_rate': 0.002046, 'ban_rate': 0.092014, 'date': '2025-10-04', 'win_rate': 0.497239}, {'app_rate': 0.002075, 'ban_rate': 0.095408, 'date': '2025-10-03', 'win_rate': 0.500111}, {'app_rate': 0.002111, 'ban_rate': 0.098356, 'date': '2025-10-02', 'win_rate': 0.501003}, {'app_rate': 0.002146, 'ban_rate': 0.100598, 'date': '2025-10-01', 'win_rate': 0.502675}]}",2674709,2025-10-08
123,Cici,"[{'_id': '6685424caa8e7f6ec4703d97', 'caption': '经验路', 'configId': 144237, 'createdAt': 1720009292257, 'createdUser': 'nickjin', 'data': {'_object': 2732073, 'road_sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/6a246099f7eb83a8856306d8b4c84fc2.svg', 'road_sort_id': '1', 'road_sort_title': 'Exp Lane'}, 'dynamic': None, 'id': 2732085, 'linkId': [2732073], 'sort': 0, 'updatedAt': 1723022932111, 'updatedUser': 'nickjin'}, '']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_4f970eb4b44b8c9fff2c511d8e856ff4.png,"[{'_id': '6698bfe8613093b976b4a96c', 'caption': '2战士', 'configId': 144237, 'createdAt': 1721286632237, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/629e282165d4b63deceaf350426ea440.png', 'sort_id': '2', 'sort_title': 'fighter'}, 'dynamic': None, 'id': 2740659, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023133206, 'updatedUser': 'nickjin'}, '']","[55, 112, 0]","[117, 19, 0]","[3, 62]",1713515848286,66222d48554108f0635303f5,1759937702878,"{'bigrank': '8', 'camp_type': '1', 'main_heroid': 123, 'match_type': '1', 'win_rate': [{'app_rate': 0.022969, 'ban_rate': 0.321214, 'date': '2025-10-07', 'win_rate': 0.554857}, {'app_rate': 0.022936, 'ban_rate': 0.317718, 'date': '2025-10-06', 'win_rate': 0.554715}, {'app_rate': 0.022785, 'ban_rate': 0.313698, 'date': '2025-10-05', 'win_rate': 0.554216}, {'app_rate': 0.022637, 'ban_rate': 0.310519, 'date': '2025-10-04', 'win_rate': 0.554229}, {'app_rate': 0.022457, 'ban_rate': 0.30701, 'date': '2025-10-03', 'win_rate': 0.553998}, {'app_rate': 0.022439, 'ban_rate': 0.304439, 'date': '2025-10-02', 'win_rate': 0.554321}, {'app_rate': 0.022471, 'ban_rate': 0.302812, 'date': '2025-10-01', 'win_rate': 0.554827}]}",2674709,2025-10-08
122,Nolan,"[{'_id': '668541caaa8e7f6ec4703d8a', 'caption': '打野', 'configId': 144237, 'createdAt': 1720009162509, 'createdUser': 'nickjin', 'data': {'_object': 2732073, 'road_sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/de611167c7310681135f0b4198137bfa.svg', 'road_sort_id': '4', 'road_sort_title': 'Jungle'}, 'dynamic': None, 'id': 2732080, 'linkId': [2732073], 'sort': 0, 'updatedAt': 1723022951463, 'updatedUser': 'nickjin'}, '']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_0495066df0d828c149e7fe89aa63078b.png,"[{'_id': '6698bffd613093b976b4a970', 'caption': '3刺客', 'configId': 144237, 'createdAt': 1721286653803, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/d0b8b65a47fc43dc7bb2bac447072fd2.png', 'sort_id': '3', 'sort_title': 'assassin'}, 'dynamic': None, 'id': 2740661, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023131050, 'updatedUser': 'nickjin'}, '']","[6, 41, 0]","[60, 15, 0]","[72, 117]",1713515848286,66222d48554108f063530399,1759937702878,"{'bigrank': '8', 'camp_type': '1', 'main_heroid': 122, 'match_type': '1', 'win_rate': [{'app_rate': 0.002419, 'ban_rate': 0.001096, 'date': '2025-10-07', 'win_rate': 0.494083}, {'app_rate': 0.00241, 'ban_rate': 0.001086, 'date': '2025-10-06', 'win_rate': 0.495424}, {'app_rate': 0.0024, 'ban_rate': 0.00107, 'date': '2025-10-05', 'win_rate': 0.496486}, {'app_rate': 0.002418, 'ban_rate': 0.001068, 'date': '2025-10-04', 'win_rate': 0.496734}, {'app_rate': 0.002423, 'ban_rate': 0.001046, 'date': '2025-10-03', 'win_rate': 0.497159}, {'app_rate': 0.002444, 'ban_rate': 0.00104, 'date': '2025-10-02', 'win_rate': 0.497273}, {'app_rate': 0.002456, 'ban_rate': 0.001029, 'date': '2025-10-01', 'win_rate': 0.497908}]}",2674709,2025-10-08
121,Ixia,"[{'_id': '668541a2aa8e7f6ec4703d86', 'caption': '金币路', 'configId': 144237, 'createdAt': 1720009122589, 'createdUser': 'nickjin', 'data': {'_object': 2732073, 'road_sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/91f817c656908a83c2e24eecb3b70986.svg', 'road_sort_id': '5', 'road_sort_title': 'Gold Lane'}, 'dynamic': None, 'id': 2732079, 'linkId': [2732073], 'sort': 0, 'updatedAt': 1723022953428, 'updatedUser': 'nickjin'}, '']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_c5f758bd1141327d36f2c77928268ab7.png,"[{'_id': '6698c04f613093b976b4a978', 'caption': '5射手', 'configId': 144237, 'createdAt': 1721286735503, 'createdUser': 'nickjin', 'data': {'_object': 2740651, 'sort_icon': 'https://akmweb.youngjoygame.com/web/gms/image/025c69a764924f4bac526a2662f1a0b9.png', 'sort_id': '5', 'sort_title': 'Marksman'}, 'dynamic': None, 'id': 2740665, 'linkId': [2740651], 'sort': 0, 'updatedAt': 1723023126452, 'updatedUser': 'nickjin'}, '']","[117, 11, 0]","[117, 11, 0]","[3, 109]",1713515848286,66222d49554108f06353190d,1759937702878,"{'bigrank': '8', 'camp_type': '1', 'main_heroid': 121, 'match_type': '1', 'win_rate': [{'app_rate': 0.010234, 'ban_rate': 0.020625, 'date': '2025-10-07', 'win_rate': 0.536418}, {'app_rate': 0.010235, 'ban_rate': 0.021277, 'date': '2025-10-06', 'win_rate': 0.534761}, {'app_rate': 0.010247, 'ban_rate': 0.021962, 'date': '2025-10-05', 'win_rate': 0.535862}, {'app_rate': 0.010306, 'ban_rate': 0.023089, 'date': '2025-10-04', 'win_rate': 0.537191}, {'app_rate': 0.010357, 'ban_rate': 0.024087, 'date': '2025-10-03', 'win_rate': 0.537607}, {'app_rate': 0.010404, 'ban_rate': 0.024888, 'date': '2025-10-02', 'win_rate': 0.537844}, {'app_rate': 0.010432, 'ban_rate': 0.025726, 'date': '2025-10-01', 'win_rate': 0.538142}]}",2674709,2025-10-08
